phone_number,plan_id,start_date,data_used
9999999098,19,2022-01-26,110.0
9999999099,15,2020-09-30,179.2
9999999100,9,2021-07-18,133.1
9999999101,7,2020-12-14,178.9
9999999102,23,2020-12-31,105.2
9999999103,11,2021-09-26,128.1
9999999104,13,2021-11-01,52.4
9999999105,13,2021-06-26,164.6
9999999106,21,2021-01-04,157.0
9999999107,23,2021-06-01,3.7
9999999108,9,2021-04-12,51.7
9999999109,19,2021-11-26,54.4
9999999110,25,2020-12-27,95.3
9999999111,17,2021-07-21,90.4
9999999112,7,2022-02-12,110.9
9999999113,9,2021-01-06,125.2
9999999114,21,2021-09-26,10.5
9999999115,27,2022-01-10,52.1
9999999116,13,2020-10-17,26.0
9999999117,1,2021-12-15,4.8
9999999118,15,2021-08-15,2.0
9999999119,29,2021-07-28,71.2
9999999120,3,2020-04-15,69.9
9999999121,15,2020-04-30,79.3
9999999122,7,2020-08-14,1.9
9999999123,5,2021-07-07,75.1
9999999124,19,2021-01-31,151.6
9999999125,27,2020-03-22,78.6
9999999126,25,2020-07-26,63.5
9999999127,13,2021-03-20,8.5
9999999128,5,2021-06-15,127.6
9999999129,3,2020-06-20,142.5
9999999130,19,2020-03-01,136.5
9999999131,27,2020-10-28,114.9
9999999132,7,2021-11-02,137.4
9999999133,5,2021-07-27,106.5
9999999134,1,2021-09-29,49.7
9999999135,7,2021-10-25,168.1
9999999136,7,2020-06-20,90.9
9999999137,5,2021-10-28,89.6
9999999138,15,2021-04-24,122.7
9999999139,3,2020-03-24,45.7
9999999140,13,2020-09-04,172.1
9999999141,17,2021-06-22,65.5
9999999142,15,2021-02-18,105.8
9999999143,25,2021-01-07,43.0
9999999144,17,2022-02-17,3.8
9999999145,29,2020-03-18,151.9
9999999146,3,2021-12-14,119.8
9999999147,7,2020-03-09,134.8
9999999148,11,2020-10-19,164.0
9999999149,15,2021-03-24,162.0
9999999150,23,2020-08-26,43.5
9999999151,17,2021-02-18,99.2
9999999152,23,2021-11-14,32.8
9999999153,5,2020-10-27,69.9
9999999154,7,2020-07-12,95.2
9999999155,3,2022-01-07,79.3
9999999156,11,2020-03-17,156.4
9999999157,25,2020-11-28,87.7
9999999158,5,2021-01-02,58.8
9999999159,25,2020-12-19,147.1
9999999160,23,2021-05-29,24.2
9999999161,9,2020-05-03,116.7
9999999162,25,2021-09-18,52.2
9999999163,27,2022-02-16,144.9
9999999164,17,2020-06-08,46.2
9999999165,23,2020-12-01,155.0
9999999166,1,2020-12-13,72.2
9999999167,7,2020-07-09,14.0
9999999168,25,2020-08-11,78.7
9999999169,9,2021-05-29,122.0
9999999170,1,2020-12-02,169.7
9999999171,21,2020-06-17,110.8
9999999172,3,2021-12-05,47.6
9999999173,7,2021-12-10,7.0
9999999174,29,2020-07-03,158.0
9999999175,11,2021-05-29,64.1
9999999176,29,2021-01-31,39.5
9999999177,23,2022-01-29,162.5
9999999178,3,2020-07-14,175.8
9999999179,23,2020-07-19,52.7
9999999180,7,2021-11-25,18.9
9999999181,27,2020-11-27,99.7
9999999182,5,2021-02-22,156.9
9999999183,7,2020-10-22,145.5
9999999184,3,2021-09-22,124.2
9999999185,29,2021-07-19,66.8
9999999186,5,2021-07-20,41.1
9999999187,19,2021-06-07,158.4
9999999188,29,2020-08-17,92.2
9999999189,5,2021-03-04,92.4
9999999190,7,2020-08-19,52.2
9999999191,25,2020-08-01,47.8
9999999192,17,2021-06-26,171.1
9999999193,5,2020-03-31,125.8
9999999194,27,2021-05-09,169.0
9999999195,11,2020-12-23,11.7
9999999196,9,2021-01-24,20.2
9999999197,17,2021-04-21,126.2
9999999198,9,2022-02-05,13.0
9999999199,21,2020-06-15,78.3
9999999200,7,2021-05-22,161.7
9999999201,13,2020-07-24,166.5
9999999202,9,2021-07-04,115.7
9999999203,13,2020-06-20,65.2
9999999204,21,2021-07-18,179.2
9999999205,9,2020-07-17,58.0
9999999206,23,2020-10-21,117.0
9999999207,15,2020-05-15,7.5
9999999208,3,2020-03-15,63.7
9999999209,19,2020-03-29,121.9
9999999210,15,2020-10-08,150.6
9999999211,3,2020-12-07,74.7
9999999212,21,2020-10-07,17.7
9999999213,19,2021-02-01,117.6
9999999214,21,2021-04-23,176.0
9999999215,3,2021-10-02,2.3
9999999216,13,2022-01-27,38.1
9999999217,11,2021-08-06,1.5
9999999218,3,2020-03-16,75.9
9999999219,25,2020-11-05,53.6
9999999220,15,2020-08-18,69.1
9999999221,13,2021-04-09,84.1
9999999222,19,2021-08-11,161.5
9999999223,19,2020-06-10,57.2
9999999224,23,2021-07-18,27.4
9999999225,13,2021-03-31,155.8
9999999226,23,2021-01-10,128.2
9999999227,13,2021-05-20,75.1
9999999228,21,2020-09-02,147.5
9999999229,21,2020-10-23,46.0
9999999230,13,2021-03-14,123.4
9999999231,17,2021-03-06,153.7
9999999232,9,2021-01-24,89.3
9999999233,3,2021-01-13,43.8
9999999234,21,2021-05-20,109.3
9999999235,13,2020-08-07,103.7
9999999236,19,2020-07-19,150.2
9999999237,5,2021-10-29,14.8
9999999238,27,2020-04-21,144.5
9999999239,23,2021-06-27,12.4
9999999240,19,2020-11-19,102.9
9999999241,25,2021-03-28,3.8
9999999242,3,2021-01-04,32.0
9999999243,23,2020-11-08,108.1
9999999244,23,2021-08-23,161.8
9999999245,25,2021-05-08,89.5
9999999246,5,2020-06-12,21.1
9999999247,7,2021-01-10,103.2
9999999248,3,2021-12-21,44.6
9999999249,13,2021-06-30,60.4
9999999250,11,2020-06-15,29.2
9999999251,11,2021-10-07,152.5
9999999252,21,2020-10-25,56.4
9999999253,3,2020-04-21,108.4
9999999254,1,2021-07-28,85.3
9999999255,13,2021-07-19,105.4
9999999256,3,2022-02-04,76.0
9999999257,11,2021-08-23,119.8
9999999258,9,2021-08-04,15.8
9999999259,11,2021-03-17,24.3
9999999260,5,2022-02-25,12.2
9999999261,17,2020-05-02,82.4
9999999262,3,2021-07-17,95.7
9999999263,23,2021-12-13,107.0
9999999264,13,2021-08-21,45.5
9999999265,11,2021-03-09,49.4
9999999266,11,2021-09-02,105.6
9999999267,19,2021-11-05,74.6
9999999268,27,2021-10-27,30.7
9999999269,21,2021-01-18,157.9
9999999270,19,2021-01-07,61.4
9999999271,27,2021-05-08,59.0
9999999272,21,2022-02-07,23.8
9999999273,25,2021-04-02,136.4
9999999274,7,2022-01-01,170.8
9999999275,21,2020-04-05,119.8
9999999276,15,2020-06-07,14.9
9999999277,13,2020-03-12,52.8
9999999278,5,2020-08-19,139.8
9999999279,25,2021-03-31,124.8
9999999280,5,2020-09-20,84.7
9999999281,29,2021-11-09,178.2
9999999282,25,2020-06-04,63.6
9999999283,1,2020-08-04,25.2
9999999284,29,2020-12-21,137.6
9999999285,7,2021-03-28,17.9
9999999286,11,2021-09-18,30.9
9999999287,3,2021-07-01,80.6
9999999288,17,2020-12-13,126.0
9999999289,19,2021-03-10,72.1
9999999290,27,2021-02-13,87.7
9999999291,15,2020-08-26,78.0
9999999292,29,2021-07-22,129.0
9999999293,7,2020-04-05,170.3
9999999294,27,2021-11-17,28.3
9999999295,17,2021-01-04,6.2
9999999296,23,2020-07-14,93.8
9999999297,13,2020-09-01,174.2
9999999298,25,2021-08-31,106.4
9999999299,5,2020-03-23,72.6
9999999300,27,2021-03-26,134.4
9999999301,21,2022-01-15,111.0
9999999302,23,2020-09-22,41.1
9999999303,25,2022-02-06,11.0
9999999304,25,2021-08-21,3.9
9999999305,29,2021-03-15,115.2
9999999306,1,2021-06-27,122.1
9999999307,9,2021-12-30,66.1
9999999308,29,2020-08-20,49.7
9999999309,11,2022-02-18,6.5
9999999310,17,2021-05-07,76.4
9999999311,7,2021-02-12,3.7
9999999312,23,2022-01-19,157.7
9999999313,23,2021-01-28,149.9
9999999314,13,2022-01-31,169.4
9999999315,25,2021-03-24,62.8
9999999316,1,2020-10-16,27.6
9999999317,21,2021-04-02,105.9
9999999318,17,2020-07-06,55.6
9999999319,29,2021-11-30,121.3
9999999320,29,2021-08-27,1.5
9999999321,25,2020-03-26,2.8
9999999322,25,2021-07-11,19.9
9999999323,11,2020-09-11,54.6
9999999324,23,2021-01-28,52.9
9999999325,27,2021-10-16,157.6
9999999326,27,2021-03-31,39.2
9999999327,25,2022-02-13,53.4
9999999328,21,2020-08-13,59.2
9999999329,27,2020-10-04,9.3
9999999330,17,2020-04-30,120.1
9999999331,19,2021-02-21,117.5
9999999332,1,2021-07-09,140.1
9999999333,3,2020-10-01,157.3
9999999334,13,2021-03-30,81.2
9999999335,3,2020-08-29,104.5
9999999336,21,2021-06-20,54.7
9999999337,1,2021-08-03,140.8
9999999338,17,2020-05-11,76.0
9999999339,23,2020-12-25,81.2
9999999340,11,2021-11-23,118.1
9999999341,23,2020-09-06,13.9
9999999342,9,2020-05-04,30.0
9999999343,25,2020-06-28,88.4
9999999344,5,2021-08-08,164.4
9999999345,19,2021-02-03,33.5
9999999346,17,2021-05-01,91.6
9999999347,7,2020-05-19,94.3
9999999348,27,2020-06-02,24.1
9999999349,23,2020-08-11,50.8
9999999350,21,2021-11-09,92.4
9999999351,19,2020-11-01,29.6
9999999352,15,2021-05-22,165.1
9999999353,19,2020-09-08,45.9
9999999354,23,2020-03-17,77.7
9999999355,5,2020-11-04,144.6
9999999356,19,2021-10-24,76.9
9999999357,7,2021-01-01,55.3
9999999358,3,2021-07-09,171.6
9999999359,7,2022-01-21,99.5
9999999360,13,2020-06-12,48.0
9999999361,25,2020-04-09,76.1
9999999362,7,2021-07-11,119.1
9999999363,17,2021-01-29,0.2
9999999364,19,2021-05-17,161.8
9999999365,19,2021-10-18,167.0
9999999366,9,2021-02-12,37.4
9999999367,29,2020-09-06,86.5
9999999368,29,2020-09-23,62.6
9999999369,23,2020-07-08,129.5
9999999370,19,2020-09-02,57.9
9999999371,15,2021-01-21,150.2
9999999372,13,2021-01-20,111.9
9999999373,19,2021-12-02,68.7
9999999374,19,2021-02-12,152.9
9999999375,21,2020-08-24,127.8
9999999376,25,2021-02-17,141.6
9999999377,9,2020-10-05,66.5
9999999378,27,2021-11-14,62.6
9999999379,19,2020-03-28,17.9
9999999380,27,2021-01-06,86.6
9999999381,19,2021-03-03,37.5
9999999382,19,2021-12-01,120.0
9999999383,21,2020-10-16,125.9
9999999384,21,2020-12-14,74.1
9999999385,21,2020-03-13,105.8
9999999386,11,2021-12-30,163.6
9999999387,27,2021-01-24,142.4
9999999388,21,2021-08-18,64.6
9999999389,19,2021-09-07,23.0
9999999390,25,2020-10-22,162.2
9999999391,3,2020-06-16,61.1
9999999392,1,2021-03-21,171.9
9999999393,13,2021-06-14,5.3
9999999394,3,2020-05-22,127.8
9999999395,21,2021-06-23,41.2
9999999396,27,2021-03-14,91.5
9999999397,19,2021-03-20,108.9
9999999398,1,2021-04-07,158.6
9999999399,11,2020-09-24,28.6
