ID,name,phone_number,sex,aadhaar,email,birthdate
68922,aayush kashyap,98606862673,m,7276553133902,aayush_kashyap@gmail.com,1986-10-17
63663,chunni lal,89903178166,m,6423772723130,chunni_lal@gmail.com,1995-3-13
69321,rudhra pratap,85891715689,m,8035248009921,rudhra_pratap@gmail.com,1986-11-26
72306,rijwan aalam,85662569353,m,5510771902258,rijwan_aalam@gmail.com,2001-4-2
37709,sanjay,99443530055,m,9232635486299,sanjay@gmail.com,1998-8-4
72388,deepak mittal,91502283250,m,5907591314556,deepak_mittal@gmail.com,1997-7-4
37794,राधेश्‍याम,96460897398,m,9039196855432,राधेश्‍याम@gmail.com,2002-8-26
67081,rahul,76830777211,m,3205516726164,rahul@gmail.com,1996-2-22
19721,prakash meena,81604328064,m,4934453663944,prakash_meena@gmail.com,2002-5-19
27416,kamlesh,90053865140,m,7622508635084,kamlesh@gmail.com,2001-11-8
98149,jatan singh,89885530778,m,3370825425241,jatan_singh@gmail.com,2001-6-6
23235,ravi sharma,91172965612,m,7155700231821,ravi_sharma@gmail.com,1993-4-6
41147,karamvir naagar,82032968445,m,3963856688071,karamvir_naagar@gmail.com,1987-3-3
20622,alok,99137312474,m,1029448976104,alok@gmail.com,2001-7-15
29539,kirorimal,90250925637,m,4905219575968,kirorimal@gmail.com,1991-11-8
7644,mohsin,99679394233,m,3078330869881,mohsin@gmail.com,2002-10-23
15706,jaspreet,81349177852,m,1799268388325,jaspreet@gmail.com,1985-8-21
19461,nitin,94838529416,m,5392858423898,nitin@gmail.com,2003-11-5
32243,raja,80372348578,m,8599233141419,raja@gmail.com,1987-7-24
70339,anuj kumar,89951076668,m,2736442130272,anuj_kumar@gmail.com,1992-7-1
12835,kishan agrawal,90722309387,m,1068330573664,kishan_agrawal@gmail.com,2000-2-12
16984,parvez,95695639401,m,1450797592839,parvez@gmail.com,2002-1-22
93485,chetanya swaroop,75974808527,m,4765175773197,chetanya_swaroop@gmail.com,1991-8-10
80805,rajendra pal,89050079345,m,2968692518985,rajendra_pal@gmail.com,1996-5-26
7810,madan kumar chaudhari,73239930721,m,5970252789781,madan_kumar_chaudhari@gmail.com,1985-11-9
78414,karan sabharwal,97439301518,m,4975299417885,karan_sabharwal@gmail.com,1994-4-23
61347,mukesh,93779812987,m,9831626734133,mukesh@gmail.com,1988-11-17
4744,sandeep gupta,78939813283,m,9000237078237,sandeep_gupta@gmail.com,1990-10-15
63711,vikas,96655478405,m,7008268726032,vikas@gmail.com,1994-4-4
58196,sarafraj,93471088777,m,4182040709820,sarafraj@gmail.com,1988-8-25
90436,ajay kumar,90121480082,m,3371666407869,ajay_kumar@gmail.com,1989-6-20
13830,raja,91081516462,m,2840535244600,raja@gmail.com,2003-10-9
24830,varun mandal,81665973644,m,2537043523431,varun_mandal@gmail.com,2003-3-15
53813,pari mohmad,82758955915,m,3697320096755,pari_mohmad@gmail.com,1998-1-9
11494,mohit nautiyal,80759567252,m,4517982080928,mohit_nautiyal@gmail.com,1996-10-22
20632,anjan jha,98096136464,m,6333777814913,anjan_jha@gmail.com,2003-10-14
52716,shakil,81933527290,m,7882725690069,shakil@gmail.com,1998-4-22
78937,inder lal,93743827370,m,8345236157936,inder_lal@gmail.com,1999-7-25
3735,vahab,85481450207,m,6063498200800,vahab@gmail.com,1986-6-10
51761,रामकिशो&,93257900849,m,1357853713431,रामकिशो&@gmail.com,1994-4-19
4340,amit kumar,97454102153,m,6627288344072,amit_kumar@gmail.com,1999-7-5
94353,ravinder,96906751235,m,8049086102747,ravinder@gmail.com,1995-6-4
70784,naveen sharma,82487559165,m,5883568758095,naveen_sharma@gmail.com,1987-1-1
36280,bhojpal,71997695043,m,1557522751500,bhojpal@gmail.com,1997-7-7
1597,piyush,96396322232,m,6716799580139,piyush@gmail.com,2002-2-2
35611,kapil,86551247360,m,1608522332956,kapil@gmail.com,1999-5-7
23878,devi lal,99510131436,m,2719859584452,devi_lal@gmail.com,1998-7-11
92277,iqbal,72948998131,m,8259650489183,iqbal@gmail.com,1987-5-8
71577,anil sharma,91790906042,m,4747049485444,anil_sharma@gmail.com,1987-10-6
57101,roshan,93257075725,m,3682448175812,roshan@gmail.com,1991-8-19
19372,prashanat chabra @ deepak chabra,82529548393,m,7079671717480,prashanat_chabra_@_deepak_chabra@gmail.com,1988-9-27
56262,om parkash,98751815355,m,5882496127796,om_parkash@gmail.com,1990-2-19
41101,manikchand,89473961301,m,3966340991531,manikchand@gmail.com,2001-5-16
68620,aslam baks,99488235214,m,5028962052063,aslam_baks@gmail.com,1990-3-14
36353,mohd. aklim,86926588444,m,6638033164627,mohd._aklim@gmail.com,1995-11-21
10912,ajay kumar,83107815062,m,2066373435283,ajay_kumar@gmail.com,1994-5-25
97922,sanjeev s/o,89879761156,m,9116116642901,sanjeev_s/o@gmail.com,1996-8-15
53447,surindera rajpal,85971145870,m,4562781301393,surindera_rajpal@gmail.com,1993-8-21
3357,shri ram mehto,76328102702,m,9246895702501,shri_ram_mehto@gmail.com,2002-10-13
42670,shivnath shah,82064824767,m,5815333080616,shivnath_shah@gmail.com,1999-1-3
88163,mukesh,82851308396,m,2664593704387,mukesh@gmail.com,1991-9-23
85824,vishal,71307460754,m,8254426405087,vishal@gmail.com,2003-9-5
45975,shivam,81985402519,m,3460150517838,shivam@gmail.com,1995-8-5
11937,azruddin,75455651737,m,6787589337390,azruddin@gmail.com,2001-5-11
8371,mohd. habib,77786566591,m,4248421306532,mohd._habib@gmail.com,2000-7-12
95646,tauseek,83930851874,m,2870913214801,tauseek@gmail.com,1991-5-5
86045,vikash,94946984994,m,4022223540623,vikash@gmail.com,1986-10-12
76810,jaswant,97859018301,m,8618749062470,jaswant@gmail.com,1996-5-11
42336,om prakash,71546427663,m,1949487275120,om_prakash@gmail.com,1996-6-9
68663,ravi lakra,70027352636,m,5914202628023,ravi_lakra@gmail.com,1991-4-23
27194,jitender rai,83533857880,m,7323801090421,jitender_rai@gmail.com,1986-9-14
15420,mohd.kudtusu,92056443541,m,8044721162752,mohd.kudtusu@gmail.com,1989-4-20
12681,babu ra/,99694244971,m,1984584714747,babu_ra/@gmail.com,1990-5-13
36669,manver singh,98036379115,m,9383410696778,manver_singh@gmail.com,1993-8-6
38593,virendra  singh,82715543056,m,5744282951439,virendra__singh@gmail.com,1988-4-23
92480,sarjeet,94703717029,m,1093598953269,sarjeet@gmail.com,1991-1-8
46459,sunny,83817803197,m,8393783412979,sunny@gmail.com,1985-2-5
67978,devender yadav s/o vishav nath yadav,83677005158,m,8716602907150,devender_yadav_s/o_vishav_nath_yadav@gmail.com,1999-2-22
99591,veeri singh jatav,85704273493,m,3621848178869,veeri_singh_jatav@gmail.com,2001-3-4
10866,raju kumar mandal,80979473899,m,2988026052659,raju_kumar_mandal@gmail.com,1997-4-8
89131,mho aamir,79914528032,m,2014446412749,mho_aamir@gmail.com,1997-10-20
21089,sanu,76685703665,m,4350283687781,sanu@gmail.com,1988-8-24
97084,shishram,82734323728,m,1481789740827,shishram@gmail.com,1985-2-22
72975,riyaz,75828631536,m,1464408053867,riyaz@gmail.com,1998-10-6
21146,ravikant,73848988332,m,7566368762490,ravikant@gmail.com,1996-7-5
48496,rohit kumar,96554469986,m,6937062517682,rohit_kumar@gmail.com,1986-3-24
97813,lal man gupta,91890628011,m,9270373666392,lal_man_gupta@gmail.com,2001-2-25
14862,sanju,83661421553,m,6056630922661,sanju@gmail.com,1990-9-8
27103,suresh singh,74507172981,m,4056670575960,suresh_singh@gmail.com,1988-10-16
48339,mudasar,97632335279,m,5317899852372,mudasar@gmail.com,2000-10-24
83176,firoz,95827567096,m,4029406239377,firoz@gmail.com,2002-5-1
90342,sanjeev kumar,87796564648,m,1097049270415,sanjeev_kumar@gmail.com,2002-8-7
51233,abdul kadir,98735688537,m,9424822276067,abdul_kadir@gmail.com,2000-8-26
98363,amit kumar,90704283424,m,5022202126881,amit_kumar@gmail.com,2002-6-18
78036,piyush,89533312938,m,8799173743365,piyush@gmail.com,2000-6-20
41736,surendar,82539391198,m,7645576217001,surendar@gmail.com,1988-8-12
78844,hasan,86784695021,m,5672852443834,hasan@gmail.com,1996-5-10
47552,jai bhagwan,72715967589,m,7887760749974,jai_bhagwan@gmail.com,2001-3-15
49066,bablu ram,86755035240,m,5565918574564,bablu_ram@gmail.com,1991-11-4
35133,shayam kishor singh,93506189896,m,7431148690172,shayam_kishor_singh@gmail.com,1991-6-1
9787,salman,99593966865,m,8244456319307,salman@gmail.com,1985-4-1
51994,sohaib,76343653047,m,2258506918106,sohaib@gmail.com,1985-8-1
55399,sunil @ anurag,93571745595,m,3934307445159,sunil_@_anurag@gmail.com,1996-4-22
53342,sanjeev,96579096765,m,4780240446020,sanjeev@gmail.com,1988-10-24
50858,harish chand dua,81068515121,m,8973543612461,harish_chand_dua@gmail.com,1985-3-24
22704,ram chandra mishra,71647222954,m,8641845908064,ram_chandra_mishra@gmail.com,1986-3-4
10955,one day male baby,74941808307,m,2900527616971,one_day_male_baby@gmail.com,1995-7-16
77250,umesh chand,96383183529,m,1684664740207,umesh_chand@gmail.com,1991-5-6
51837,surya dev singh,99050820728,m,9104400445022,surya_dev_singh@gmail.com,1991-4-25
73923,abhishek,86736783447,m,4000003591376,abhishek@gmail.com,1999-4-2
50030,ravinder,87766529669,m,2985986817001,ravinder@gmail.com,1993-6-5
97648,gourav jain,91508396858,m,2367978854598,gourav_jain@gmail.com,1985-3-25
24759,mandeep,79544776862,m,2160749305868,mandeep@gmail.com,1988-4-26
59142,deepak,92783955556,m,1612192661752,deepak@gmail.com,1999-2-15
8485,mahaveer,77692884255,m,2462869009009,mahaveer@gmail.com,1994-10-7
98169,mannu,85428773413,m,2635091494930,mannu@gmail.com,2003-5-19
31186,gutam,98690801813,m,4947187290543,gutam@gmail.com,2000-11-2
13014,rohit,95901581457,m,6345646657031,rohit@gmail.com,1990-11-27
23777,anil kumar sain,92387646390,m,1297511756146,anil_kumar_sain@gmail.com,1991-1-6
70583,deepak @ pankaj,99996263063,m,1181197382285,deepak_@_pankaj@gmail.com,1986-5-5
67240,istikar,81659640233,m,9408582956443,istikar@gmail.com,2001-10-14
56307,shiv lal nehara,89242369532,m,2225928660799,shiv_lal_nehara@gmail.com,1989-4-27
24624,prabhash yadav,75405718521,m,5230772420284,prabhash_yadav@gmail.com,1989-4-23
52061,sunny,74128826606,m,5962078016089,sunny@gmail.com,1987-7-11
1443,yogesh,92134509826,m,8488832408027,yogesh@gmail.com,1995-2-12
90188,vishvnath sarkar,90166523996,m,4265555455373,vishvnath_sarkar@gmail.com,2001-2-2
97077,chander shekhar,90271139181,m,1188518757784,chander_shekhar@gmail.com,1990-10-11
32041,mahesh,79035808138,m,2816750198014,mahesh@gmail.com,1988-10-26
52805,versha,83843402237,m,4894835167010,versha@gmail.com,1990-2-27
97034,govinda,89738935302,m,9536223466850,govinda@gmail.com,1997-8-4
28555,pardeep,82824827656,m,2381028011575,pardeep@gmail.com,1993-2-21
7162,manish garg,79048863152,m,1057018642026,manish_garg@gmail.com,2001-1-11
57236,deepak kumar,87738933204,m,1677934845333,deepak_kumar@gmail.com,1993-3-24
16689,tanveer,84925085413,m,7543716937630,tanveer@gmail.com,2001-5-10
62158,bablu khan,86289450170,m,2823041655234,bablu_khan@gmail.com,2003-11-20
26642,afridi,71346812952,m,3019338100982,afridi@gmail.com,1995-10-11
90915,warnakulasuriya erancis fernando,88823258853,m,6037624766315,warnakulasuriya_erancis_fernando@gmail.com,1991-2-15
39888,ankit,71550204499,m,5745146576065,ankit@gmail.com,1990-3-13
73241,nand ram,80356083692,m,4316795894819,nand_ram@gmail.com,1989-5-11
81992,lala,97041141280,m,8418778340248,lala@gmail.com,2002-8-27
71575,ajay kumar s/o,70036084866,m,7589817742304,ajay_kumar_s/o@gmail.com,1992-4-5
54829,karan pandey @ kumar pandey,85836150067,m,3226704546230,karan_pandey_@_kumar_pandey@gmail.com,1989-6-14
28767,sahid khan,94469889285,m,7275945737596,sahid_khan@gmail.com,1996-2-7
18168,karishan lal,73690217740,m,1999613673803,karishan_lal@gmail.com,1991-10-24
66690,km.deyji,99246678177,m,7414048880753,km.deyji@gmail.com,1987-5-18
38193,sanni,87317300242,m,7338792211106,sanni@gmail.com,1991-8-15
19028,suresh kumar,98038623775,m,1820276978615,suresh_kumar@gmail.com,1985-4-15
96189,saurabh ujjwal,71138642797,m,4574308067352,saurabh_ujjwal@gmail.com,1999-8-15
66400,subhash,82159928419,m,1522273295409,subhash@gmail.com,2002-9-19
81705,arun kumar,81264987068,m,5847717547606,arun_kumar@gmail.com,2002-9-27
48470,shivaji rai,81201304970,m,1007479667641,shivaji_rai@gmail.com,1995-3-5
66798,mohd asraf ansari,98777221257,m,4161826445288,mohd_asraf_ansari@gmail.com,1989-4-23
4596,bhanu pratap,85122588389,m,4064042372570,bhanu_pratap@gmail.com,1996-9-5
12764,mobin,74192582099,m,8335103326819,mobin@gmail.com,1985-3-7
56887,anmol,73096865956,m,7472298225674,anmol@gmail.com,2002-5-21
93482,patan dev mehto,93629434908,m,6212947246190,patan_dev_mehto@gmail.com,1990-10-25
76136,sanjeev,75529160431,m,7937047647241,sanjeev@gmail.com,1994-10-5
92246,fazaley,98179511984,m,9301894578038,fazaley@gmail.com,1997-10-10
50537,vikash kumar,94548095647,m,8771016244115,vikash_kumar@gmail.com,1992-11-16
64589,prem singh chauhan,91408837619,m,3392203472703,prem_singh_chauhan@gmail.com,1985-4-26
20429,deepak,73920085828,m,3640897481030,deepak@gmail.com,2003-7-10
83571,mukesh kumar,73242208634,m,1387229134631,mukesh_kumar@gmail.com,1994-8-24
72412,vicky,83399179014,m,4753960335618,vicky@gmail.com,1988-8-27
49411,kanhaiya sharma,87617311667,m,8714580553782,kanhaiya_sharma@gmail.com,1999-6-10
77291,aashik,71535387139,m,1059451837050,aashik@gmail.com,2003-9-24
53599,rajbir singh,78191502196,m,4686030722558,rajbir_singh@gmail.com,1996-9-3
39291,narendra kumar,79391872015,m,6498752343202,narendra_kumar@gmail.com,1992-9-17
76197,yogesh @ pongu,73666436746,m,8026387692733,yogesh_@_pongu@gmail.com,1986-6-21
69327,gulam  nabi azad,88665006338,m,5353707191296,gulam__nabi_azad@gmail.com,2003-8-15
29281,irsad,85556819428,m,5197386412387,irsad@gmail.com,1997-1-6
29283,umar daraj,91787976605,m,1241376857016,umar_daraj@gmail.com,1988-11-23
43235,sandeep singh,91959297183,m,9529186534294,sandeep_singh@gmail.com,1985-4-26
17881,manoj singh bisht,91191170368,m,2322189783539,manoj_singh_bisht@gmail.com,1988-9-26
37121,sonu,81731717795,m,7900985255205,sonu@gmail.com,2001-9-4
91991,ashok kumar sani,80770482507,m,2586174959857,ashok_kumar_sani@gmail.com,1988-9-16
29837,varun,95879758770,m,2705570602470,varun@gmail.com,2002-9-3
22439,ashu @ chavikant,81409706835,m,2851448285977,ashu_@_chavikant@gmail.com,1999-8-15
41248,shripal,82732897910,m,1541493021772,shripal@gmail.com,1991-10-4
69289,arjun singh @ shubham,79911453713,m,3214018697186,arjun_singh_@_shubham@gmail.com,1988-8-14
11102,daya nand,89274781132,m,8004772940198,daya_nand@gmail.com,1989-10-11
84049,shafibul,92414481453,m,3283228222919,shafibul@gmail.com,2001-2-27
18954,rajesh arora@kamal,97244930485,m,7907289626967,rajesh_arora@kamal@gmail.com,1995-4-20
94921,gulshan,87696319785,m,6684573866253,gulshan@gmail.com,2000-4-19
66275,anjani kumar,88058639021,m,2751743239608,anjani_kumar@gmail.com,1988-9-14
92597,manish saini,77291803854,m,1953456416260,manish_saini@gmail.com,2001-2-20
57524,dalip,98162964676,m,6004783177597,dalip@gmail.com,1997-9-27
90513,mo. aasif,82146485297,m,7534678444046,mo._aasif@gmail.com,1986-4-6
6777,vimlesh kumar,82035615947,m,7869420898731,vimlesh_kumar@gmail.com,2003-1-19
16601,sundar singh,94473793612,m,8147690864172,sundar_singh@gmail.com,2003-11-3
38537,harichand,81365777091,m,1792293128331,harichand@gmail.com,1992-3-8
82400,mantu gupta,94765857264,m,6621385938761,mantu_gupta@gmail.com,2003-4-27
55621,daks,85464804215,m,1605224890554,daks@gmail.com,1987-11-22
9380,chhabeel sharma,95719537458,m,6883349172376,chhabeel_sharma@gmail.com,1994-1-1
58635,salman,77869011797,m,6444807598773,salman@gmail.com,1985-9-5
88502,omjone ibanuil,93277269384,m,3880898246159,omjone_ibanuil@gmail.com,1998-3-19
32320,somender,95733610427,m,8017673252774,somender@gmail.com,2001-6-2
69061,kundan,74260753234,m,2989433233407,kundan@gmail.com,1994-10-11
50816,subhash chand,79861682917,m,4961780917618,subhash_chand@gmail.com,1990-9-5
52967,ramesh,84710303031,m,7790246527691,ramesh@gmail.com,1988-5-5
55077,deepak,98154844000,m,4088791194061,deepak@gmail.com,1989-6-12
8524,mohan @ hemant kumar,75963791296,m,3783506627034,mohan_@_hemant_kumar@gmail.com,1987-10-21
46872,sahnawaz,89916518004,m,3290583466045,sahnawaz@gmail.com,2001-5-4
96125,nitu,91850852946,m,7921518974863,nitu@gmail.com,1989-10-10
69119,pawan kumar,91832790448,m,4171730559934,pawan_kumar@gmail.com,1999-5-2
92727,kali ram,73048552800,m,9389106505223,kali_ram@gmail.com,1989-7-26
74737,narender,85127937386,m,6588807250582,narender@gmail.com,1995-8-13
22021,sanjay kumar @ pappu,89662540538,m,2861838484718,sanjay_kumar_@_pappu@gmail.com,1987-5-9
31442,praveen,81862778896,m,3954444207367,praveen@gmail.com,1999-6-4
50493,laxman,82119854398,m,6091334404305,laxman@gmail.com,1999-6-8
18777,sachin,73830184904,m,3076120000070,sachin@gmail.com,1986-8-8
83136,kulwinder singh,85957860151,m,7345364476580,kulwinder_singh@gmail.com,1985-4-25
97482,dhannu,73290052148,m,6119114616768,dhannu@gmail.com,1990-10-5
40660,ankit kumar,87175162183,m,5143010967771,ankit_kumar@gmail.com,2002-10-9
3609,raja ravidas,75136547524,m,7143891489493,raja_ravidas@gmail.com,1994-3-23
20850,kalusingh,81892581544,m,3267676306101,kalusingh@gmail.com,1995-11-16
53781,sandeep,84992854594,m,7441825560604,sandeep@gmail.com,1991-8-7
79672,mahkar,98490553526,m,5289797428021,mahkar@gmail.com,1990-4-11
44257,nikhil,89004918998,m,8476321838184,nikhil@gmail.com,1989-10-14
53109,sheikh matin @ munna,96820937309,m,8959816544489,sheikh_matin_@_munna@gmail.com,2001-7-18
6679,guddu,88407234506,m,4059051422248,guddu@gmail.com,1989-7-11
67494,mohd danish,82758108207,m,8638346023512,mohd_danish@gmail.com,2000-1-6
98430,dharampal,93777671322,m,2291280692977,dharampal@gmail.com,1986-10-14
60533,krishna pandey,80610425028,m,5882548009817,krishna_pandey@gmail.com,1987-7-22
4388,manohar,95942374447,m,9725415776933,manohar@gmail.com,1999-10-9
51246,ram parvesh,83644007705,m,4735929025245,ram_parvesh@gmail.com,1988-4-26
32136,manoj mahto,71759025700,m,3398208542123,manoj_mahto@gmail.com,2001-7-19
33787,shivam arora,89475350053,m,4458995886958,shivam_arora@gmail.com,1987-3-9
67080,shardanand,95207985457,m,3603078860560,shardanand@gmail.com,2000-3-24
75263,yash,99349640716,m,4146381102613,yash@gmail.com,2000-6-5
7973,ratan singh,80223631348,m,1115659428306,ratan_singh@gmail.com,2000-5-14
62121,karamvir,91669408771,m,7089993773289,karamvir@gmail.com,1998-11-14
65304,vikash kumar,87970142127,m,9064017488958,vikash_kumar@gmail.com,1994-1-2
94890,upender khandelwal,70181784748,m,8446763094483,upender_khandelwal@gmail.com,1994-9-8
36910,modh danish,71327271232,m,4898425512859,modh_danish@gmail.com,1991-3-25
83434,boby farman,99020634349,m,2022629310948,boby_farman@gmail.com,1996-1-14
10033,anurudh choudhary,96586171712,m,1676652940956,anurudh_choudhary@gmail.com,1992-10-20
3657,aashif,91462212858,m,9415900171044,aashif@gmail.com,1991-1-3
77019,yasib,92549327819,m,7785938932792,yasib@gmail.com,1997-7-18
69029,avdhesh,80589462114,m,2022419981063,avdhesh@gmail.com,1993-9-3
47910,amit,75276571212,m,6661974939693,amit@gmail.com,1999-5-7
23098,vinay,81941169195,m,9410261107181,vinay@gmail.com,1998-9-27
16850,heera parsad chouchan,93824780082,m,9654466173775,heera_parsad_chouchan@gmail.com,1993-4-15
35167,sukka singh,74471066455,m,1531288866914,sukka_singh@gmail.com,1987-11-5
13289,amit,71406161653,m,8665540550001,amit@gmail.com,1992-7-13
72368,ajit,75070887717,m,6363796539864,ajit@gmail.com,2002-6-27
5441,mohan singh,71738631969,m,6442435428201,mohan_singh@gmail.com,2002-3-15
75419,girish chand,83122840638,m,9534384119819,girish_chand@gmail.com,2001-5-27
69494,muksndi lal,91165863005,m,8576524646325,muksndi_lal@gmail.com,1989-7-18
54040,reenu,78070590497,m,2458463574722,reenu@gmail.com,1990-6-16
56552,kaushal,79521545554,m,5513106642712,kaushal@gmail.com,1995-6-22
93947,aakash @ sani,93294889228,m,6498252920746,aakash_@_sani@gmail.com,1997-1-10
63019,dheeraj,77074399888,m,2779017232054,dheeraj@gmail.com,1999-10-24
9842,satyam,90214391262,m,9289400579539,satyam@gmail.com,1994-7-13
84615,rana gandhi,71534087839,m,3100572853145,rana_gandhi@gmail.com,2002-3-15
14582,laxmi narayan @ tushar,98313000316,m,9907417986502,laxmi_narayan_@_tushar@gmail.com,2001-1-16
30720,radheshyam,95348106219,m,6546432408730,radheshyam@gmail.com,1985-11-23
59070,raj kumar  (chotu),70459841901,m,2923592297273,raj_kumar__(chotu)@gmail.com,2002-11-3
75835,padam bahadur s/o karan,97919470792,m,3258798045399,padam_bahadur_s/o_karan@gmail.com,2001-8-4
40089,gafur,93581107863,m,5386521687928,gafur@gmail.com,1985-5-14
57977,saurabh @ monu,94869770500,m,4103911120331,saurabh_@_monu@gmail.com,1985-6-4
1519,brij raj,71448995400,m,2543806510285,brij_raj@gmail.com,1985-11-4
22330,pawan kumar,78294057417,m,2328666837019,pawan_kumar@gmail.com,1985-9-19
2479,adarsh,84782724814,m,6228621747432,adarsh@gmail.com,1989-11-3
3254,satpal,88303647606,m,2146314290237,satpal@gmail.com,2002-6-8
34517,rahul,70206722628,m,7007826063488,rahul@gmail.com,2003-2-11
62386,kundan singh,87413491746,m,2926688869641,kundan_singh@gmail.com,1996-11-8
75568,chander aggarwal,71510492283,m,1891354231833,chander_aggarwal@gmail.com,1994-3-11
90452,suraj,72739064334,m,2183788529621,suraj@gmail.com,2003-5-6
94077,ram kumar,94741325783,m,6589926292457,ram_kumar@gmail.com,1986-7-2
20398,anwar,79478943778,m,2988217798451,anwar@gmail.com,1999-1-26
28732,baudi,94144545174,m,2404729228783,baudi@gmail.com,1998-1-1
76830,megharaj kirad,81008699376,m,6797004062288,megharaj_kirad@gmail.com,1991-10-14
11009,mahnatha sahni,77004946453,m,5356670590915,mahnatha_sahni@gmail.com,1990-5-8
36889,devesh kadyan,72704606238,m,6093776616465,devesh_kadyan@gmail.com,2002-9-6
1450,deerendra singh,94539039659,m,1116365328352,deerendra_singh@gmail.com,1989-11-22
50319,sajid,78566458949,m,8296121334711,sajid@gmail.com,1990-1-19
16076,ramu yadav,97613253123,m,2851530579245,ramu_yadav@gmail.com,1995-6-23
32366,mohd sadique,77710163655,m,8722895880042,mohd_sadique@gmail.com,1988-6-26
16219,rahul bhiram,70970054690,m,7501185472622,rahul_bhiram@gmail.com,1991-11-3
92208,jaquir,81212634889,m,2369258956358,jaquir@gmail.com,1991-2-5
39413,amit,73257437392,m,9693922164824,amit@gmail.com,2000-2-21
18699,vidya nand jaiswal,85323762645,m,5380721877145,vidya_nand_jaiswal@gmail.com,1991-10-1
35924,asrf,87388747999,m,2062310961634,asrf@gmail.com,2000-9-12
17535,rakesh panday,87370202165,m,7801194193491,rakesh_panday@gmail.com,1997-9-4
18548,sagar,91062272064,m,2064738653687,sagar@gmail.com,1997-11-1
72027,ankur@ joni,76700554174,m,7273900146655,ankur@_joni@gmail.com,1986-4-21
76158,jitin @ chunni,98154092950,m,7694170095029,jitin_@_chunni@gmail.com,1998-4-16
80972,rajendra,94259010893,m,9612430881739,rajendra@gmail.com,1987-5-3
94376,mukish kumar,73709074474,m,7314255008714,mukish_kumar@gmail.com,2001-6-21
