phone_number,plan_id,start_date,l_minutes,s_minutes,i_minutes,calls,sms
9999999106,12,2021-03-18,112167,1113,101,4623,720
9999999107,16,2021-04-02,49991,10852,88,8797,475
9999999108,2,2020-08-28,44938,9606,88,10846,145
9999999109,2,2021-07-06,95976,784,32,6693,533
9999999110,24,2020-11-18,68517,8472,97,4072,267
9999999111,28,2021-12-09,118167,11619,1,1282,890
9999999112,14,2022-01-01,100548,3679,87,7089,615
9999999113,14,2021-04-13,56692,6440,2,5727,748
9999999114,12,2021-04-10,30610,3213,105,8499,592
9999999115,22,2020-03-27,112401,3870,65,1566,694
9999999116,28,2021-08-06,54230,10529,56,3670,1091
9999999117,14,2021-09-18,101803,9582,10,7463,841
9999999118,2,2021-02-02,32522,1182,99,4751,280
9999999119,12,2020-10-15,96203,10029,28,11684,1200
9999999120,30,2020-06-19,84141,2268,91,10609,228
9999999121,16,2021-12-28,40327,3828,70,8282,677
9999999122,20,2021-02-19,1398,4865,2,1687,517
9999999123,2,2021-04-03,33087,7234,94,11275,1158
9999999124,16,2021-01-12,25904,3274,102,7496,587
9999999125,2,2020-12-24,101679,4249,24,5317,499
9999999126,2,2020-05-06,96600,9818,56,8426,492
9999999127,18,2020-07-10,38086,534,104,1713,866
9999999128,2,2020-05-01,89636,1019,4,11658,690
9999999129,4,2020-08-14,65058,9266,34,9280,993
9999999130,22,2021-04-24,42201,5475,58,7397,1173
9999999131,2,2021-03-07,94186,11667,108,10062,816
9999999132,16,2022-02-28,33819,8924,83,10172,50
9999999133,24,2021-10-23,99585,1443,62,4910,469
9999999134,14,2021-07-27,104110,4001,48,9364,400
9999999135,6,2020-12-15,15871,4247,64,9714,1086
9999999136,18,2020-07-04,27622,6658,20,3703,469
9999999137,12,2022-02-28,28787,1806,101,2442,232
9999999138,22,2020-04-26,68748,410,5,9193,234
9999999139,22,2020-08-23,92230,461,111,8688,971
9999999140,8,2021-05-23,111540,352,83,96,459
9999999141,12,2021-05-05,29759,9352,16,3502,367
9999999142,24,2021-10-05,32305,7497,52,1478,108
9999999143,6,2020-07-02,40700,8898,5,3543,256
9999999144,26,2021-10-20,75632,5530,120,9069,959
9999999145,4,2020-03-15,38287,3002,82,11217,398
9999999146,20,2021-07-21,116671,11802,71,7996,1100
9999999147,28,2021-06-29,4563,10267,19,555,409
9999999148,24,2021-07-05,8647,763,6,5857,1
9999999149,24,2020-07-09,90491,4281,52,8621,829
9999999150,18,2022-02-16,18922,3290,8,2150,906
9999999151,16,2020-03-10,33930,9768,87,1033,643
9999999152,22,2021-06-20,75727,9122,47,3351,254
9999999153,14,2020-04-07,18777,7029,50,3225,60
9999999154,26,2021-03-06,43643,3882,34,389,715
9999999155,8,2020-12-29,103802,3255,95,9682,149
9999999156,20,2020-08-11,14606,2239,114,5224,999
9999999157,12,2021-03-03,83418,11455,98,5292,141
9999999158,28,2021-04-04,67770,11228,48,5953,581
9999999159,28,2021-09-24,28526,8339,44,1767,358
9999999160,12,2021-07-26,37266,3143,79,3237,1102
9999999161,10,2021-07-06,69257,1451,119,6094,783
9999999162,16,2020-09-16,80885,919,115,4773,734
9999999163,4,2020-12-13,56331,9809,105,6654,816
9999999164,2,2020-12-19,52396,8760,106,1742,400
9999999165,26,2022-01-07,53978,2518,1,10102,772
9999999166,6,2021-12-29,75881,9392,88,5288,686
9999999167,2,2021-01-08,119609,4286,26,8255,176
9999999168,4,2021-08-05,85806,3344,112,7330,460
9999999169,22,2020-06-22,23744,1456,114,9461,208
9999999170,22,2021-09-22,25994,11130,3,8176,569
9999999171,22,2022-02-28,22098,624,96,1118,281
9999999172,28,2021-09-14,1999,7537,13,7130,528
9999999173,4,2021-01-05,25261,7495,55,4456,326
9999999174,28,2020-05-10,67686,6779,96,1934,722
9999999175,4,2021-05-11,66104,7040,48,1012,226
9999999176,14,2021-08-28,17652,4772,39,1601,821
9999999177,20,2021-04-06,22035,6524,24,6091,980
9999999178,20,2020-10-18,83331,11381,74,9868,519
9999999179,18,2020-07-16,109505,11635,15,11427,201
9999999180,22,2022-02-07,10470,4499,86,8353,1095
9999999181,4,2020-12-19,46701,6301,30,6592,26
9999999182,6,2021-11-27,77684,4977,1,5124,375
9999999183,26,2020-05-19,92450,9162,17,10105,847
9999999184,8,2020-05-25,13414,9670,98,1947,882
9999999185,28,2021-04-20,44308,11178,89,8077,975
9999999186,24,2020-08-06,31524,1583,83,6812,498
9999999187,22,2021-12-20,54133,4301,30,6652,347
9999999188,6,2021-06-23,104256,9861,90,521,770
9999999189,28,2021-11-09,17373,927,22,8395,729
9999999190,28,2021-02-26,12697,5472,53,3423,365
9999999191,24,2021-07-16,102703,6065,47,5094,365
9999999192,14,2020-10-19,94098,3150,105,6568,923
9999999193,4,2021-12-03,66157,11520,90,5034,34
9999999194,22,2021-11-30,4439,11669,8,7662,511
9999999195,30,2020-03-02,91774,11769,37,10378,160
9999999196,8,2020-05-14,30028,10863,10,7067,1031
9999999197,24,2021-07-05,67673,3371,75,6659,188
9999999198,2,2021-11-01,105573,1643,97,2109,1194
9999999199,2,2020-11-30,37399,8755,21,11550,559
9999999200,22,2020-10-23,67719,1062,35,8934,942
9999999201,16,2021-07-05,39317,11672,113,1729,245
9999999202,2,2020-09-25,49844,2167,78,7362,346
9999999203,4,2021-06-06,7447,7457,77,758,1117
9999999204,16,2021-05-21,2276,5098,82,9828,718
9999999205,4,2022-01-23,20396,11976,108,8504,645
9999999206,28,2020-08-27,102681,11942,18,9130,90
9999999207,24,2020-09-27,93191,1214,19,5009,42
9999999208,18,2020-11-14,47905,11855,19,8794,1180
9999999209,6,2022-01-24,73787,3414,36,11968,879
9999999210,22,2020-05-29,89952,3498,81,4719,1126
9999999211,28,2021-06-17,50266,2795,65,7291,423
9999999212,20,2021-12-31,93388,11322,99,75,546
9999999213,20,2021-12-24,13699,11581,95,3926,967
9999999214,12,2020-05-14,14429,11558,95,6273,496
9999999215,30,2020-11-01,76748,8719,5,1732,906
9999999216,28,2021-07-18,35874,3639,93,10628,619
9999999217,2,2021-05-03,545,11968,112,5902,241
9999999218,16,2020-10-05,48707,4616,109,11838,959
9999999219,14,2020-05-26,102429,10833,37,7918,359
9999999220,6,2021-10-17,71239,10972,7,4143,84
9999999221,10,2020-09-06,110370,7354,83,1655,53
9999999222,24,2020-06-17,59481,6513,118,5749,379
9999999223,6,2021-08-04,65052,3153,45,6671,131
9999999224,30,2021-01-20,101435,1486,95,211,625
9999999225,26,2021-11-11,63370,2099,20,8130,1027
9999999226,20,2020-03-02,75422,11138,27,334,563
9999999227,16,2021-10-16,92249,7099,73,10816,430
9999999228,6,2021-01-21,81497,3720,10,11566,942
9999999229,18,2021-11-08,61075,2256,49,271,695
9999999230,20,2022-01-30,26579,3797,94,10113,21
9999999231,6,2021-04-07,52843,1150,23,2312,487
9999999232,14,2020-07-04,63982,7046,120,9305,589
9999999233,2,2021-07-21,84999,236,43,2377,686
9999999234,18,2020-06-16,24596,7326,61,3592,65
9999999235,16,2020-10-06,119774,6486,116,3254,69
9999999236,24,2021-07-17,85272,4858,116,3836,127
9999999237,30,2021-12-02,92915,6461,31,10879,291
9999999238,24,2021-01-28,13576,8444,95,11740,1066
9999999239,28,2021-09-24,14065,4151,24,1053,1174
9999999240,18,2021-06-08,86031,3544,46,173,907
9999999241,18,2020-09-28,39191,6026,3,9313,1100
9999999242,2,2020-09-23,85403,7047,33,6322,1013
9999999243,10,2020-10-17,20615,3341,17,7051,826
9999999244,2,2020-06-15,101470,2515,82,2910,868
9999999245,20,2020-05-19,69223,6218,47,10551,1063
9999999246,10,2020-03-30,89735,10972,32,8361,502
9999999247,6,2022-01-12,88958,10885,116,9273,927
9999999248,16,2021-03-26,38773,9773,56,2145,1184
9999999249,2,2021-07-18,102122,11661,93,1027,718
9999999250,24,2021-06-15,116087,1701,58,3854,983
9999999251,12,2020-04-01,50999,4172,73,7347,755
9999999252,24,2021-01-17,57381,5129,104,669,974
9999999253,16,2020-11-22,93858,5492,76,3484,666
9999999254,18,2021-09-02,11651,3621,120,8297,588
9999999255,4,2021-07-02,93887,2774,47,1599,594
9999999256,12,2021-01-18,9176,8300,22,1333,507
9999999257,28,2021-10-09,120,6878,52,9128,1061
9999999258,4,2020-04-26,32586,7588,109,9752,474
9999999259,12,2021-07-20,78908,3743,53,4152,271
9999999260,10,2021-04-10,9995,622,62,8238,227
9999999261,18,2020-04-08,48508,7467,76,4818,27
9999999262,24,2020-03-13,25066,6815,70,627,1156
9999999263,22,2021-01-31,77344,5546,0,3606,57
9999999264,14,2021-12-21,101927,9226,106,3272,838
9999999265,16,2021-02-26,106402,5672,78,7124,1190
9999999266,8,2020-09-18,53652,8798,69,7196,1031
9999999267,10,2021-06-12,40018,4910,74,604,959
9999999268,24,2020-06-26,33951,11519,36,11370,162
9999999269,12,2021-11-20,61193,9874,70,1555,15
9999999270,6,2020-12-02,22553,1469,48,3466,393
9999999271,4,2021-05-20,80617,10117,95,10320,1003
9999999272,18,2020-08-11,2099,2038,106,2058,925
9999999273,8,2020-11-15,36408,11065,58,10684,962
9999999274,30,2021-02-22,51966,10886,34,2359,402
9999999275,10,2020-09-13,92476,3162,91,11515,1060
9999999276,2,2021-08-18,23475,268,71,8697,667
9999999277,10,2020-10-13,35881,8211,31,1955,407
9999999278,10,2020-09-29,6926,6516,40,4990,812
9999999279,2,2021-08-06,106414,10731,114,861,31
9999999280,4,2020-08-14,47121,3134,76,6983,460
9999999281,22,2021-09-24,21892,4952,65,10237,33
9999999282,8,2020-04-15,97036,709,90,8758,849
9999999283,2,2021-06-10,15453,3313,76,8318,1131
9999999284,8,2021-04-15,21873,11694,102,2950,763
9999999285,24,2020-09-08,75183,3157,58,10847,1181
9999999286,10,2022-01-21,27770,4328,111,11591,247
9999999287,2,2021-12-15,88282,11298,6,11590,332
9999999288,12,2020-10-18,48122,7495,65,10917,292
9999999289,22,2021-11-24,16281,637,119,4057,808
9999999290,12,2021-01-31,70498,7021,116,3429,440
9999999291,16,2021-07-19,39841,7238,79,9594,73
9999999292,4,2020-04-06,104357,5631,21,4169,316
9999999293,6,2022-02-18,112296,5955,78,11409,204
9999999294,16,2022-02-25,89222,56,80,7470,406
9999999295,8,2021-04-21,83490,11997,90,8198,611
9999999296,16,2020-10-08,74459,8490,110,7388,404
9999999297,20,2021-02-23,32627,10162,8,9247,242
9999999298,2,2020-11-17,39382,3168,9,11787,468
9999999299,10,2022-01-12,100937,6856,93,8051,460
9999999300,14,2021-09-11,118110,3727,39,5512,149
9999999301,6,2020-08-01,96431,9751,31,4014,286
9999999302,14,2021-09-15,42607,11957,83,2492,613
9999999303,20,2021-10-24,88330,4087,33,3825,644
9999999304,28,2020-03-17,20514,6487,25,11260,107
9999999305,18,2020-05-18,57467,497,51,7663,1188
9999999306,20,2020-07-18,64177,736,35,11294,159
9999999307,28,2020-03-02,10971,10456,80,1180,872
9999999308,10,2021-02-18,54397,6791,81,3272,175
9999999309,2,2020-07-10,102742,8762,51,4481,572
9999999310,24,2021-12-29,21473,6945,37,791,213
9999999311,24,2021-02-08,111009,7774,38,10179,1159
9999999312,10,2020-11-23,13474,5871,108,2152,992
9999999313,16,2020-12-09,30105,6419,111,5156,596
9999999314,20,2020-08-23,5121,4806,65,6823,609
9999999315,4,2021-05-02,39933,6397,53,1146,601
9999999316,22,2020-06-21,56482,2984,107,5285,1018
9999999317,14,2021-02-17,73203,7688,105,2582,289
9999999318,16,2021-06-23,72582,9788,76,11391,1114
9999999319,30,2020-04-18,7699,1979,13,8716,315
9999999320,20,2020-09-21,94872,4228,97,3944,403
9999999321,20,2021-03-28,111919,11451,102,3571,270
9999999322,16,2021-04-05,30993,3623,32,1734,713
9999999323,22,2021-05-15,42986,4762,108,5212,167
9999999324,8,2021-09-11,95295,10504,36,4367,371
9999999325,14,2020-11-19,41643,4697,59,9190,1073
9999999326,26,2021-07-22,32525,8705,0,11247,1025
9999999327,2,2021-11-01,65519,933,17,5462,640
9999999328,4,2021-07-21,24495,4328,8,1601,33
9999999329,24,2022-01-18,14618,1312,111,7342,898
9999999330,24,2020-10-21,43195,2269,1,4619,657
9999999331,28,2020-05-20,17208,4803,100,11938,1025
9999999332,30,2021-10-10,88383,9617,3,9903,353
9999999333,8,2020-07-26,20836,1552,99,11079,618
9999999334,14,2020-11-02,78701,11291,96,6391,876
9999999335,18,2021-08-05,63453,220,113,11558,466
9999999336,14,2020-05-17,7459,5127,16,10861,426
9999999337,2,2021-06-23,112836,1406,95,2330,173
9999999338,28,2020-07-10,16541,1775,41,9196,25
9999999339,16,2021-05-23,46821,9041,106,1680,22
9999999340,12,2021-07-24,24889,10044,72,13,7
9999999341,24,2021-06-24,25529,11653,81,3354,888
9999999342,6,2020-10-25,37311,2320,78,11856,868
9999999343,22,2021-02-04,76473,2834,89,6131,509
9999999344,20,2021-09-30,84838,10125,102,2551,649
9999999345,8,2021-10-09,56523,11180,92,8579,822
9999999346,6,2022-02-03,15523,4420,88,11283,877
9999999347,26,2020-06-27,16623,845,26,6048,1031
9999999348,8,2021-11-02,94413,11492,101,6602,478
9999999349,4,2020-11-15,66903,1787,43,7805,835
9999999350,6,2021-08-17,27919,6090,46,8427,561
9999999351,20,2021-05-31,64632,11793,6,10167,708
9999999352,26,2021-08-30,34435,9467,116,482,926
9999999353,24,2020-03-26,112336,9876,78,11755,522
9999999354,8,2020-06-23,8259,9727,16,5634,63
9999999355,18,2021-03-24,36870,7934,98,7589,465
9999999356,20,2022-01-30,110028,4891,100,5818,423
9999999357,18,2021-10-24,101537,7987,2,7190,309
9999999358,14,2022-02-08,67797,6433,5,4233,908
9999999359,8,2020-06-14,47030,8801,92,9657,946
9999999360,24,2020-06-09,110884,885,42,10979,103
9999999361,16,2020-09-22,13195,4721,48,11865,1109
9999999362,6,2022-01-15,72110,651,67,11835,1172
9999999363,28,2021-08-20,11591,1421,64,1442,501
9999999364,18,2021-10-09,46574,10772,80,6944,428
9999999365,20,2020-10-29,93440,1435,104,8264,10
9999999366,10,2022-01-25,51203,11734,75,9625,453
9999999367,12,2021-02-20,99894,6431,88,5997,547
9999999368,6,2020-10-03,114315,4143,34,7534,522
9999999369,24,2020-06-08,34961,8555,18,8207,368
9999999370,4,2021-02-07,34061,10010,2,5133,618
9999999371,2,2021-09-10,1097,10643,84,4951,557
9999999372,6,2021-12-29,119489,7973,27,4210,965
9999999373,14,2021-11-20,3382,10521,83,9659,1064
9999999374,26,2021-03-07,97526,9039,120,4310,5
9999999375,10,2021-09-30,7330,3711,57,9710,213
9999999376,6,2020-09-30,102092,602,6,3458,639
9999999377,16,2021-08-03,10919,7929,15,7508,202
9999999378,20,2021-12-13,31073,97,100,4101,705
9999999379,16,2022-01-11,71625,10980,73,2915,583
9999999380,14,2022-02-23,37392,11689,22,6760,914
9999999381,6,2020-11-19,109099,15,25,2009,299
9999999382,6,2022-01-12,34632,10466,94,5074,404
9999999383,10,2021-03-29,39027,4286,68,3464,16
9999999384,6,2020-09-01,28432,456,104,11436,151
9999999385,22,2020-03-27,8015,8697,53,2083,138
9999999386,28,2022-02-10,66403,5019,113,11548,243
9999999387,10,2020-08-03,61894,10909,95,1885,1129
9999999388,30,2021-01-10,74440,122,64,739,370
9999999389,20,2020-08-07,35798,6020,110,11853,963
9999999390,22,2020-12-02,35967,4046,6,2000,648
9999999391,30,2020-03-16,52536,7176,27,3512,541
9999999392,24,2020-09-25,23557,9081,74,953,658
9999999393,10,2021-12-22,52706,7355,59,9237,754
9999999394,4,2021-02-25,22061,7596,87,10914,829
9999999395,22,2020-12-03,84327,9654,47,4390,175
9999999396,4,2021-08-12,95517,1459,118,3467,593
9999999397,28,2020-11-27,108517,6167,40,1841,446
9999999398,12,2021-09-04,2327,6955,108,234,706
9999999399,18,2021-05-17,22999,6853,73,6385,32
